Processor,Time,Bags
BELT 1,12:00:00 AM,37
BELT 2,12:00:00 AM,48
BELT 4,12:00:00 AM,0
BELT 3,12:00:00 AM,68
BELT 1,12:01:00 AM,33
BELT 2,12:01:00 AM,48
BELT 4,12:01:00 AM,0
BELT 3,12:01:00 AM,61
BELT 1,12:02:00 AM,27
BELT 2,12:02:00 AM,48
BELT 4,12:02:00 AM,0
BELT 3,12:02:00 AM,53
BELT 1,12:03:00 AM,26
BELT 2,12:03:00 AM,48
BELT 4,12:03:00 AM,0
BELT 3,12:03:00 AM,45
BELT 1,12:04:00 AM,21
BELT 2,12:04:00 AM,48
BELT 4,12:04:00 AM,0
BELT 3,12:04:00 AM,42
BELT 1,12:05:00 AM,14
BELT 2,12:05:00 AM,48
BELT 4,12:05:00 AM,0
BELT 3,12:05:00 AM,35
BELT 1,12:06:00 AM,11
BELT 2,12:06:00 AM,48
BELT 4,12:06:00 AM,0
BELT 3,12:06:00 AM,28
BELT 1,12:07:00 AM,7
BELT 2,12:07:00 AM,48
BELT 4,12:07:00 AM,0
BELT 3,12:07:00 AM,27
BELT 1,12:08:00 AM,6
BELT 2,12:08:00 AM,46
BELT 4,12:08:00 AM,0
BELT 3,12:08:00 AM,18
BELT 1,12:09:00 AM,5
BELT 2,12:09:00 AM,45
BELT 4,12:09:00 AM,0
BELT 3,12:09:00 AM,14
BELT 1,12:10:00 AM,24
BELT 2,12:10:00 AM,42
BELT 4,12:10:00 AM,0
BELT 3,12:10:00 AM,13
BELT 1,12:11:00 AM,71
BELT 2,12:11:00 AM,36
BELT 4,12:11:00 AM,0
BELT 3,12:11:00 AM,6
BELT 1,12:12:00 AM,125
BELT 2,12:12:00 AM,32
BELT 4,12:12:00 AM,4
BELT 3,12:12:00 AM,2
BELT 1,12:13:00 AM,160
BELT 2,12:13:00 AM,22
BELT 4,12:13:00 AM,11
BELT 3,12:13:00 AM,0
BELT 1,12:14:00 AM,160
BELT 2,12:14:00 AM,15
BELT 4,12:14:00 AM,19
BELT 3,12:14:00 AM,0
BELT 1,12:15:00 AM,160
BELT 2,12:15:00 AM,6
BELT 4,12:15:00 AM,25
BELT 3,12:15:00 AM,0
BELT 1,12:16:00 AM,160
BELT 2,12:16:00 AM,2
BELT 4,12:16:00 AM,24
BELT 3,12:16:00 AM,0
BELT 1,12:17:00 AM,160
BELT 2,12:17:00 AM,2
BELT 4,12:17:00 AM,28
